medium,transaction_date,amount,description
upward-trending,11/6/2015,$911.49,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
Compatible,8/13/2016,$57885.66,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
monitoring,6/26/2016,$70174.70,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
Multi-lateral,4/2/2016,$32322.02,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
portal,9/5/2016,$73980.08,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
content-based,11/13/2015,$8713.52,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id
encoding,2/24/2016,$26616.45,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
implementation,10/26/2015,$42500.50,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
Robust,10/28/2015,$4690.56,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
analyzer,3/5/2016,$45426.39,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a
pricing structure,6/4/2016,$73444.03,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
Self-enabling,12/6/2015,$49366.93,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
complexity,6/7/2016,$30593.68,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
didactic,12/30/2015,$92515.86,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
Networked,5/19/2016,$68960.81,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
website,10/28/2015,$73783.75,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
alliance,7/3/2016,$60235.07,lacinia aenean sit amet justo morbi ut odio cras mi pede
6th generation,8/9/2016,$2403.34,dui nec nisi volutpat eleifend donec ut dolor morbi vel
empowering,2/28/2016,$92806.28,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
Fundamental,12/16/2015,$93094.45,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
framework,4/14/2016,$56128.68,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
knowledge user,7/6/2016,$33975.47,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
Innovative,5/24/2016,$46384.06,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
paradigm,9/27/2015,$18587.08,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis
Team-oriented,9/3/2016,$77498.31,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
middleware,9/6/2016,$27579.60,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
Persevering,7/27/2016,$86544.93,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
challenge,1/6/2016,$900.70,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
installation,3/22/2016,$42998.13,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
time-frame,9/7/2016,$55512.64,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
framework,3/19/2016,$80230.54,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
Monitored,2/29/2016,$99484.46,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
high-level,11/25/2015,$77910.98,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
policy,8/11/2016,$80323.78,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
collaboration,3/17/2016,$29154.81,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
User-centric,12/31/2015,$64161.17,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
Optional,11/19/2015,$76744.21,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
Cross-group,12/25/2015,$46259.04,interdum mauris non ligula pellentesque ultrices phasellus id sapien in
circuit,2/8/2016,$61985.50,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
framework,10/24/2015,$76919.72,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
Robust,4/24/2016,$99768.44,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
Persistent,4/11/2016,$1909.50,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
6th generation,6/27/2016,$38471.65,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
national,5/7/2016,$64457.83,nisi at nibh in hac habitasse platea dictumst aliquam augue quam
Multi-tiered,3/26/2016,$52095.31,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
extranet,9/6/2016,$6025.11,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
attitude-oriented,12/30/2015,$43484.11,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
emulation,2/22/2016,$49543.69,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
Automated,1/29/2016,$72900.14,duis at velit eu est congue elementum in hac habitasse
mission-critical,3/9/2016,$1828.48,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
global,5/29/2016,$40500.76,odio condimentum id luctus nec molestie sed justo pellentesque viverra
focus group,1/31/2016,$36285.69,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
clear-thinking,10/1/2015,$82424.10,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
directional,4/30/2016,$68666.34,aliquam convallis nunc proin at turpis a pede posuere nonummy integer
monitoring,11/22/2015,$1468.77,primis in faucibus orci luctus et ultrices posuere cubilia curae donec
superstructure,8/3/2016,$34754.12,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
capacity,8/12/2016,$11449.11,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
dynamic,2/14/2016,$3366.61,justo etiam pretium iaculis justo in hac habitasse platea dictumst
Centralized,8/30/2016,$30114.55,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
even-keeled,7/30/2016,$76572.94,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
Open-architected,10/20/2015,$7427.94,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
Multi-channelled,1/1/2016,$83516.05,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
context-sensitive,4/8/2016,$49586.44,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
systemic,9/7/2016,$55207.67,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
Profound,3/15/2016,$33091.36,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
Fundamental,6/6/2016,$35883.93,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor
Visionary,12/1/2015,$90091.33,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
real-time,2/9/2016,$83478.50,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
framework,5/28/2016,$62582.91,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
radical,6/7/2016,$12051.91,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
intangible,3/6/2016,$3319.53,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
zero tolerance,8/19/2016,$5366.94,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
pricing structure,9/28/2015,$19865.20,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
holistic,6/23/2016,$9765.08,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
content-based,2/9/2016,$82413.78,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
Mandatory,1/18/2016,$71336.10,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
Seamless,2/12/2016,$15626.14,eu nibh quisque id justo sit amet sapien dignissim vestibulum
analyzing,3/31/2016,$4560.17,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
Secured,7/10/2016,$37187.24,dui vel sem sed sagittis nam congue risus semper porta volutpat quam
Synergized,3/6/2016,$88214.27,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
analyzer,4/7/2016,$93199.15,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
support,6/28/2016,$53749.08,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
Function-based,11/16/2015,$18210.17,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat
access,10/5/2015,$92875.17,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
process improvement,5/3/2016,$38936.84,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
Decentralized,6/2/2016,$55068.92,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque
policy,7/11/2016,$83436.03,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
Enhanced,5/22/2016,$9483.18,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
ability,6/15/2016,$44870.88,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
attitude-oriented,1/14/2016,$35946.61,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
Digitized,12/25/2015,$47575.11,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
asymmetric,1/5/2016,$89253.95,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
mobile,6/14/2016,$39538.92,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
didactic,5/30/2016,$33988.54,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
ability,11/9/2015,$62829.82,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
frame,10/2/2015,$21378.18,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
utilisation,5/13/2016,$93411.00,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
intermediate,8/6/2016,$38367.93,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
Future-proofed,1/24/2016,$33625.33,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at
Profound,7/9/2016,$30676.60,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
Polarised,8/23/2016,$83718.71,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
high-level,8/6/2016,$57578.30,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
Business-focused,11/30/2015,$25818.07,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
web-enabled,9/19/2015,$6910.74,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
approach,4/2/2016,$70173.81,in purus eu magna vulputate luctus cum sociis natoque penatibus
extranet,9/19/2015,$76991.37,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque
Advanced,2/17/2016,$42841.14,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
functionalities,11/9/2015,$20092.70,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea
success,6/14/2016,$61238.73,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
complexity,9/15/2015,$98150.94,a libero nam dui proin leo odio porttitor id consequat in consequat ut
Implemented,2/28/2016,$98161.45,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
Customizable,2/16/2016,$74020.79,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
4th generation,1/30/2016,$41642.49,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
client-server,8/24/2016,$26006.34,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
demand-driven,7/26/2016,$78082.07,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci
utilisation,3/23/2016,$76380.15,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
Organized,6/16/2016,$81145.30,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
Persistent,4/19/2016,$46962.03,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
logistical,12/23/2015,$97765.98,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
impactful,2/9/2016,$54057.09,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
Organic,6/26/2016,$12500.84,in ante vestibulum ante ipsum primis in faucibus orci luctus
well-modulated,7/25/2016,$77939.48,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
paradigm,8/23/2016,$3744.06,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
executive,4/19/2016,$58050.13,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
needs-based,12/21/2015,$57190.78,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
high-level,6/28/2016,$56915.63,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin
Adaptive,4/30/2016,$10316.75,velit vivamus vel nulla eget eros elementum pellentesque quisque porta
executive,5/2/2016,$65831.42,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
Expanded,5/16/2016,$77803.61,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
Up-sized,6/21/2016,$58732.65,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
Profound,12/15/2015,$44050.16,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
motivating,12/24/2015,$5408.59,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede
Operative,1/3/2016,$57254.89,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
Secured,6/4/2016,$70280.98,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
contextually-based,5/2/2016,$88592.20,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
Operative,8/7/2016,$45437.47,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
Team-oriented,1/1/2016,$85733.49,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
heuristic,3/23/2016,$76419.87,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
real-time,12/3/2015,$36576.28,praesent blandit nam nulla integer pede justo lacinia eget tincidunt
systemic,11/21/2015,$19857.71,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
systemic,11/12/2015,$4439.81,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
Polarised,11/6/2015,$89379.52,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
logistical,9/16/2015,$85407.82,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
human-resource,6/20/2016,$16730.34,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
moderator,6/6/2016,$91494.71,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
scalable,12/13/2015,$38798.58,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
explicit,10/19/2015,$65985.19,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla
value-added,6/24/2016,$66953.77,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
moderator,4/8/2016,$50632.71,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
circuit,8/11/2016,$74630.80,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
flexibility,8/17/2016,$4568.96,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
fault-tolerant,8/1/2016,$44663.27,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
Optimized,5/11/2016,$46863.15,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
Managed,2/2/2016,$35038.25,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
attitude-oriented,7/14/2016,$53772.85,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede
Adaptive,2/21/2016,$66962.15,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at
Grass-roots,9/1/2016,$14794.29,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
Open-source,6/28/2016,$47931.44,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
fresh-thinking,4/5/2016,$16253.29,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
service-desk,4/19/2016,$17544.90,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
application,4/28/2016,$4730.54,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
policy,9/23/2015,$22657.33,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
neutral,12/28/2015,$49886.20,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
next generation,4/13/2016,$48800.78,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
task-force,9/3/2016,$30116.47,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
interactive,10/16/2015,$1209.86,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
User-centric,6/8/2016,$66967.51,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
Switchable,1/7/2016,$40815.59,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
workforce,10/28/2015,$93.55,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
alliance,9/15/2015,$81414.17,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
bandwidth-monitored,12/22/2015,$60346.69,quis turpis sed ante vivamus tortor duis mattis egestas metus
core,12/9/2015,$702.20,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
parallelism,8/29/2016,$48394.82,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
high-level,4/2/2016,$2126.05,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
Reactive,5/19/2016,$94351.10,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi
global,2/21/2016,$19282.88,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
core,1/24/2016,$8482.54,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
Enterprise-wide,8/30/2016,$38941.77,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
hub,11/19/2015,$69568.87,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
middleware,4/19/2016,$90888.07,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
collaboration,2/12/2016,$80494.26,at dolor quis odio consequat varius integer ac leo pellentesque ultrices
De-engineered,5/23/2016,$28315.18,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in
systematic,1/13/2016,$27793.61,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
encompassing,10/31/2015,$9824.47,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
encoding,4/6/2016,$66978.19,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
system-worthy,1/23/2016,$59433.12,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
object-oriented,12/10/2015,$88142.27,lobortis sapien sapien non mi integer ac neque duis bibendum morbi
24 hour,9/11/2015,$9560.18,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
extranet,12/15/2015,$97223.27,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
definition,4/8/2016,$33025.24,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
ability,11/5/2015,$26791.04,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
explicit,6/21/2016,$59875.30,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
non-volatile,4/21/2016,$38982.67,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
Future-proofed,8/10/2016,$34394.31,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
static,8/24/2016,$4330.63,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
Object-based,6/22/2016,$52199.63,quam a odio in hac habitasse platea dictumst maecenas ut massa quis
Exclusive,7/29/2016,$94735.51,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo
national,9/14/2015,$13762.33,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
Realigned,1/4/2016,$34616.53,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
Multi-channelled,1/22/2016,$97810.17,nisi eu orci mauris lacinia sapien quis libero nullam sit
superstructure,3/26/2016,$13717.41,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
Graphical User Interface,12/25/2015,$82882.93,nec molestie sed justo pellentesque viverra pede ac diam cras
intranet,5/12/2016,$37419.44,ornare consequat lectus in est risus auctor sed tristique in tempus sit
asymmetric,9/11/2015,$76202.37,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
Automated,5/30/2016,$53361.48,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
Enhanced,9/21/2015,$61066.01,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl
De-engineered,10/24/2015,$6992.39,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
Multi-layered,12/8/2015,$71845.25,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum
contextually-based,11/7/2015,$32191.02,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
protocol,1/22/2016,$34243.77,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
parallelism,12/24/2015,$61152.92,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
Focused,7/18/2016,$80443.47,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
well-modulated,4/2/2016,$94971.03,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
Synchronised,8/24/2016,$58391.62,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
software,8/24/2016,$65183.60,integer non velit donec diam neque vestibulum eget vulputate ut
secured line,6/19/2016,$90891.75,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
Realigned,2/17/2016,$78066.25,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
systemic,2/26/2016,$91984.99,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
dynamic,5/10/2016,$86372.87,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
needs-based,8/5/2016,$77707.43,purus phasellus in felis donec semper sapien a libero nam dui proin leo
encryption,8/17/2016,$29797.45,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
matrices,12/29/2015,$90019.71,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
transitional,9/15/2015,$17038.69,quis lectus suspendisse potenti in eleifend quam a odio in
Optimized,8/18/2016,$92175.38,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
zero tolerance,5/30/2016,$93718.99,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
encryption,3/16/2016,$91900.96,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
upward-trending,11/22/2015,$42273.16,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
Operative,8/24/2016,$97060.16,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
local,8/23/2016,$46815.33,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
service-desk,7/28/2016,$11998.18,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
motivating,4/25/2016,$97982.53,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
Fundamental,9/3/2016,$10660.06,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
artificial intelligence,12/1/2015,$71325.38,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor
Distributed,6/13/2016,$84092.02,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
Switchable,3/28/2016,$77332.72,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
infrastructure,10/25/2015,$70925.08,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
approach,12/13/2015,$49635.17,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
motivating,10/15/2015,$62784.90,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
