status,payee,nickname,payment_date,recurring_date,payment_amount
hierarchy,chudsonby,chillby,5/5/2016,1,Euro
Diverse,afullerbz,bpalmerbz,9/5/2016,6,Yuan Renminbi
model,jperkinsc0,ngrahamc0,11/20/2015,2,Yuan Renminbi
leading edge,dknightc1,afrazierc1,3/28/2016,8,Boliviano
6th generation,ccooperc2,dwilliamsonc2,4/17/2016,4,Zloty
Reactive,kturnerc3,mcrawfordc3,6/19/2016,1,Ruble
Managed,jaustinc4,mwrightc4,4/1/2016,11,Yuan Renminbi
open architecture,sbryantc5,lperryc5,1/23/2016,7,Sol
Ergonomic,swagnerc6,jlawrencec6,9/22/2015,2,Peso
Cross-platform,thamiltonc7,mharrisc7,9/12/2015,1,Dollar
extranet,driverac8,jgutierrezc8,2/23/2016,8,Rupiah
upward-trending,gaustinc9,pmillsc9,3/20/2016,2,Yen
value-added,tolsonca,pknightca,4/16/2016,3,Baht
actuating,kbradleycb,pstonecb,9/29/2015,5,Ruble
full-range,rflorescc,bmarshallcc,6/24/2016,12,Yuan Renminbi
uniform,efranklincd,aportercd,10/21/2015,12,Rand
actuating,mgrahamce,sandrewsce,10/20/2015,10,Manat
multi-state,sfranklincf,dwheelercf,8/16/2016,5,Euro
Stand-alone,mkellycg,jburkecg,3/20/2016,2,Dirham
Balanced,psimsch,jmorganch,7/22/2016,8,Dollar
even-keeled,rortizci,ssullivanci,2/7/2016,3,Dollar
directional,jsanchezcj,kstewartcj,10/12/2015,9,Rupiah
algorithm,sgreeneck,rcarterck,11/30/2015,9,Euro
groupware,iwatsoncl,tmillercl,5/24/2016,3,Peso
analyzing,bfranklincm,cowenscm,4/20/2016,2,Yuan Renminbi
next generation,rhughescn,emillercn,3/1/2016,11,Real
Optimized,ahudsonco,jelliottco,6/14/2016,4,Shekel
Future-proofed,probertscp,abennettcp,8/28/2016,7,Won
adapter,kreidcq,kruizcq,12/25/2015,8,Naira
Monitored,jkellycr,hbishopcr,9/5/2016,6,Boliviano
discrete,ctuckercs,rjacobscs,5/19/2016,3,Real
portal,sgrayct,fmcdonaldct,7/1/2016,7,Yuan Renminbi
conglomeration,awelchcu,jclarkcu,7/7/2016,4,Euro
Progressive,ngordoncv,dleecv,3/21/2016,4,Rupiah
Triple-buffered,lkingcw,mhuntcw,1/7/2016,2,Koruna
Upgradable,abankscx,mcrawfordcx,5/29/2016,1,Zloty
real-time,rhernandezcy,halvarezcy,9/17/2015,2,Kuna
impactful,jlanecz,mweavercz,1/11/2016,2,Tenge
solution-oriented,druizd0,jgutierrezd0,11/24/2015,11,Afghani
logistical,dwardd1,pholmesd1,11/30/2015,4,Ruble
Distributed,jgomezd2,cnicholsd2,8/4/2016,3,Riels
customer loyalty,sperezd3,lpayned3,4/17/2016,12,Yuan Renminbi
Cross-group,cwhited4,jsimsd4,6/9/2016,3,Yuan Renminbi
Public-key,bgeorged5,ihendersond5,11/17/2015,7,Peso
time-frame,btuckerd6,nberryd6,10/31/2015,2,Ruble
Public-key,cjacksond7,phamiltond7,4/12/2016,8,Rupiah
function,nreyesd8,kfoxd8,2/18/2016,3,Ruble
Polarised,hfordd9,wellisd9,1/22/2016,2,Peso
Compatible,skennedyda,swilliamsonda,7/29/2016,4,Yen
Networked,kmcdonalddb,sowensdb,3/24/2016,6,Rupiah
Reverse-engineered,bstonedc,chansondc,7/27/2016,9,Lev
help-desk,rolsondd,cdeandd,6/4/2016,2,Euro
task-force,pellisde,bcruzde,4/2/2016,6,Real
Upgradable,lweaverdf,hlopezdf,7/5/2016,7,Shilling
hardware,talvarezdg,jmooredg,5/4/2016,6,Ruble
infrastructure,dstephensdh,bleedh,8/24/2016,7,Yuan Renminbi
Assimilated,lstanleydi,vdaydi,4/24/2016,10,Rupiah
fault-tolerant,jstanleydj,gsnyderdj,10/16/2015,9,Real
object-oriented,ahenrydk,ahunterdk,6/16/2016,10,Euro
success,jpetersondl,rryandl,11/8/2015,5,Rupiah
transitional,acolemandm,lsmithdm,12/29/2015,12,Yuan Renminbi
encompassing,rmooredn,cschmidtdn,12/15/2015,7,Euro
help-desk,lmitchelldo,slewisdo,5/7/2016,8,Dollar
Triple-buffered,jgreendp,jgraydp,3/19/2016,5,Yuan Renminbi
open system,wweaverdq,dsmithdq,4/19/2016,12,Shekel
open architecture,sjenkinsdr,mbaileydr,10/14/2015,5,Peso
secured line,hellisds,jhayesds,10/30/2015,11,Ruble
optimizing,mjenkinsdt,landersondt,8/8/2016,6,Tenge
Polarised,cperrydu,jcarpenterdu,7/8/2016,8,Zloty
Enterprise-wide,tcunninghamdv,rfisherdv,1/17/2016,3,Euro
system-worthy,srobertsdw,kmorgandw,4/10/2016,2,Rupiah
mission-critical,wmarshalldx,lmeyerdx,5/13/2016,2,Ruble
capability,gkennedydy,scastillody,12/15/2015,3,Rupiah
project,hburkedz,rcruzdz,7/4/2016,12,Lempira
dynamic,rclarke0,sellise0,12/20/2015,1,Yuan Renminbi
groupware,pgilberte1,ewalkere1,9/18/2015,12,Real
incremental,tmitchelle2,adixone2,3/11/2016,9,Yuan Renminbi
core,swagnere3,lfostere3,1/5/2016,6,Tugrik
algorithm,bcolee4,jarnolde4,8/27/2016,3,Yuan Renminbi
Synergized,sgrante5,earmstronge5,1/9/2016,2,Rupiah
functionalities,lpereze6,selliotte6,7/12/2016,2,Euro
capability,dbaileye7,jmorrisone7,6/16/2016,3,Dollar
Open-source,lperrye8,ehille8,3/26/2016,3,Dong
exuding,pgordone9,jmcdonalde9,9/22/2015,7,Euro
framework,nmasonea,jwashingtonea,11/7/2015,2,Rupiah
User-centric,bweavereb,jrusselleb,1/26/2016,9,Lempira
incremental,vwillisec,aellisec,6/23/2016,8,Dollar
portal,sdiazed,dwoodsed,3/24/2016,5,Shilling
Assimilated,bhuntee,tlawrenceee,9/16/2015,5,Dollar
Seamless,cschmidtef,ljenkinsef,3/22/2016,2,Shekel
actuating,dgranteg,jramirezeg,5/18/2016,1,Hryvnia
throughput,srobertsoneh,jgreeneeh,11/29/2015,11,Rupiah
optimal,pgarciaei,acoleei,2/10/2016,9,Yuan Renminbi
knowledge base,tsandersej,jkellyej,10/16/2015,5,Yuan Renminbi
secured line,rharperek,cspencerek,2/7/2016,12,Rupiah
data-warehouse,pmorganel,vschmidtel,6/1/2016,12,Euro
model,jmillsem,hmorganem,8/3/2016,7,Euro
focus group,sbennetten,tcarren,1/17/2016,11,Yuan Renminbi
Right-sized,smasoneo,hmorriseo,5/16/2016,6,Rupiah
zero defect,cnelsonep,kknightep,6/7/2016,1,Yuan Renminbi
Exclusive,rberryeq,lrichardsoneq,1/26/2016,10,Sol
Fundamental,nvasquezer,bmorrisoner,7/26/2016,6,Peso
Upgradable,kfrazieres,amilleres,3/2/2016,7,Dinar
Operative,redwardset,scrawfordet,6/19/2016,9,Rupiah
impactful,spriceeu,tmeyereu,11/12/2015,8,Dollar
encryption,nwebbev,ghunterev,10/21/2015,10,Colon
implementation,dgriffinew,mortizew,12/25/2015,9,Hryvnia
stable,jturnerex,afisherex,2/6/2016,4,Yuan Renminbi
Versatile,sreyesey,rbanksey,11/9/2015,9,Kuna
matrix,lrayez,bstoneez,11/19/2015,2,Yuan Renminbi
knowledge user,brileyf0,pdavisf0,5/23/2016,9,Peso
Organic,jdavisf1,jpalmerf1,5/19/2016,12,Peso
time-frame,slopezf2,shuntf2,10/25/2015,7,Yuan Renminbi
infrastructure,rhenryf3,twarrenf3,12/11/2015,10,Rupiah
Reduced,elawsonf4,abellf4,5/9/2016,3,Yuan Renminbi
moderator,whunterf5,ewoodf5,10/18/2015,11,Ruble
process improvement,jgonzalesf6,lfergusonf6,6/1/2016,3,Kwacha
Profit-focused,slongf7,pthomasf7,8/19/2016,7,Krona
process improvement,hdixonf8,sgrayf8,2/12/2016,10,Yuan Renminbi
methodology,akimf9,showellf9,3/13/2016,4,Manat
archive,jcarpenterfa,dsnyderfa,11/29/2015,1,Yuan Renminbi
Future-proofed,jramirezfb,plewisfb,10/16/2015,7,Yuan Renminbi
well-modulated,rlarsonfc,amarshallfc,9/15/2015,1,Birr
installation,llanefd,lsandersfd,10/7/2015,2,Yuan Renminbi
Business-focused,ekingfe,jthompsonfe,8/22/2016,6,Dram
hub,jhicksff,dlarsonff,12/17/2015,2,Peso
Multi-tiered,nandrewsfg,mrossfg,11/19/2015,3,Rupiah
maximized,fmartinfh,amedinafh,6/5/2016,10,Yuan Renminbi
core,druizfi,achavezfi,8/7/2016,9,Dollar
Proactive,ipalmerfj,dbennettfj,8/30/2016,3,Ruble
eco-centric,criverafk,rstevensfk,12/10/2015,11,Ruble
application,pbarnesfl,kbutlerfl,6/12/2016,2,Euro
Synergistic,bfisherfm,etaylorfm,3/11/2016,9,Shilling
context-sensitive,jnelsonfn,lmarshallfn,6/7/2016,10,Yuan Renminbi
maximized,kclarkfo,kmontgomeryfo,9/26/2015,8,Yuan Renminbi
capacity,ladamsfp,jbryantfp,11/17/2015,5,Afghani
Customizable,clongfq,jmyersfq,1/4/2016,5,Ruble
help-desk,sbaileyfr,gwatkinsfr,6/3/2016,6,Leu
3rd generation,tarmstrongfs,cmartinezfs,3/17/2016,2,Yuan Renminbi
optimal,fblackft,wblackft,9/27/2015,12,Yuan Renminbi
eco-centric,krobertsonfu,jlongfu,5/10/2016,4,Yuan Renminbi
budgetary management,kblackfv,jarnoldfv,2/25/2016,1,Yuan Renminbi
Cloned,asmithfw,eburnsfw,12/18/2015,10,Dollar
initiative,jburnsfx,khudsonfx,4/13/2016,6,Euro
incremental,cyoungfy,bmccoyfy,6/27/2016,4,Rupiah
utilisation,tjenkinsfz,lwrightfz,10/2/2015,6,Ruble
Balanced,hfowlerg0,mharrisong0,5/25/2016,7,Zloty
Universal,rchapmang1,jmillsg1,10/15/2015,1,Yuan Renminbi
model,rcastillog2,rgrahamg2,2/2/2016,9,Peso
firmware,jhenryg3,sparkerg3,8/23/2016,12,Yuan Renminbi
De-engineered,aphillipsg4,jcooperg4,11/16/2015,6,Yuan Renminbi
24/7,lgardnerg5,kcolemang5,9/18/2015,3,Yuan Renminbi
hybrid,gyoungg6,eburnsg6,8/17/2016,2,Sol
24/7,jreynoldsg7,pmartinezg7,11/30/2015,9,Yuan Renminbi
demand-driven,wfordg8,sstevensg8,9/24/2015,7,Shilling
bifurcated,rschmidtg9,dberryg9,9/11/2015,6,Dollar
Fully-configurable,hfoxga,trosega,10/4/2015,1,Rupiah
Public-key,bgordongb,tjamesgb,10/27/2015,7,Rupiah
Profit-focused,schapmangc,npiercegc,5/2/2016,8,Real
radical,karnoldgd,cgutierrezgd,9/12/2015,11,Lempira
Networked,lfrazierge,dbanksge,8/15/2016,6,Yuan Renminbi
Multi-channelled,rbrooksgf,areidgf,9/28/2015,2,Shilling
Adaptive,tleegg,eolivergg,10/22/2015,1,Kuna
Reduced,igibsongh,vevansgh,5/14/2016,2,Denar
zero administration,jpowellgi,hstevensgi,7/10/2016,6,Sol
mission-critical,ncarrollgj,lwellsgj,4/5/2016,10,Peso
Assimilated,tfordgk,taustingk,4/4/2016,4,Rupiah
national,rrobertsongl,ahicksgl,3/7/2016,2,Rupiah
intermediate,gmorrisgm,alopezgm,12/3/2015,12,Baht
heuristic,swalkergn,aaustingn,12/12/2015,2,Dollar
Integrated,mfostergo,jbarnesgo,9/11/2015,6,Yen
mission-critical,rjonesgp,kmeyergp,10/2/2015,3,Peso
global,sgeorgegq,pdavisgq,8/1/2016,3,Euro
Implemented,wwrightgr,bpetersongr,7/24/2016,2,Hryvnia
24 hour,ljamesgs,hcarrgs,4/29/2016,1,Euro
Grass-roots,mfergusongt,gowensgt,1/28/2016,9,Rupiah
modular,jwashingtongu,asullivangu,11/30/2015,5,Koruna
firmware,jlawrencegv,pcartergv,12/29/2015,11,Euro
orchestration,bpricegw,tgarrettgw,6/1/2016,7,Ruble
Graphic Interface,ssimpsongx,jrichardsgx,5/12/2016,5,Denar
Extended,cturnergy,jcarrollgy,9/12/2015,4,Sol
application,dortizgz,afishergz,9/7/2016,6,Yuan Renminbi
strategy,vkennedyh0,aparkerh0,9/22/2015,1,Euro
incremental,jkingh1,smorrisonh1,7/10/2016,8,Krona
process improvement,rjonesh2,cboydh2,1/1/2016,11,Real
internet solution,cgriffinh3,jweaverh3,12/14/2015,11,Euro
disintermediate,tstanleyh4,blopezh4,11/27/2015,6,Dong
attitude,whenryh5,mhallh5,2/4/2016,9,Rupiah
bottom-line,dstewarth6,cmorganh6,1/11/2016,4,Ringgit
approach,priverah7,sjordanh7,5/15/2016,2,Krona
Digitized,cmurrayh8,ehunterh8,12/31/2015,12,Rial
Up-sized,hcarterh9,amarshallh9,1/9/2016,5,Koruna
Persistent,ssnyderha,jwilliamsonha,11/30/2015,3,Baht
analyzer,bwellshb,hdiazhb,5/10/2016,1,Dollar
function,sjordanhc,fharrishc,3/29/2016,4,Yuan Renminbi
service-desk,pbradleyhd,mdixonhd,6/7/2016,1,Dollar
core,jmontgomeryhe,smorenohe,5/15/2016,5,Franc
zero administration,cdayhf,blanehf,8/2/2016,5,Euro
uniform,fcruzhg,acolehg,3/16/2016,3,Yuan Renminbi
Decentralized,rharveyhh,ajameshh,12/25/2015,11,Dong
high-level,rhunterhi,sbarneshi,10/3/2015,7,Yuan Renminbi
data-warehouse,rortizhj,lcarpenterhj,9/21/2015,11,Peso
forecast,kolsonhk,asimshk,7/24/2016,3,Real
strategy,sporterhl,sschmidthl,12/9/2015,8,Krona
Profit-focused,rhansonhm,alewishm,12/29/2015,1,Peso
transitional,acookhn,jleehn,6/16/2016,1,Ruble
superstructure,vduncanho,cmartinezho,10/31/2015,12,Peso
orchestration,ddayhp,jjoneshp,6/13/2016,9,Yuan Renminbi
access,tnicholshq,jrosehq,1/29/2016,7,Lari
Automated,rchavezhr,shunterhr,6/12/2016,4,Yuan Renminbi
Multi-channelled,lhansonhs,kharrisonhs,11/22/2015,3,Euro
zero defect,sreidht,ddeanht,1/25/2016,8,Dong
Advanced,sstanleyhu,abutlerhu,9/13/2015,5,Yuan Renminbi
User-centric,cjoneshv,dgranthv,2/26/2016,1,Euro
Advanced,cwatsonhw,rfisherhw,10/12/2015,12,Peso
collaboration,mrosehx,elittlehx,2/22/2016,8,Naira
dynamic,astanleyhy,afranklinhy,8/4/2016,4,Yuan Renminbi
Upgradable,dfrazierhz,kgarretthz,11/19/2015,9,Euro
emulation,pmontgomeryi0,clopezi0,1/10/2016,9,Euro
Face to face,rthompsoni1,plawsoni1,3/4/2016,1,Zloty
Visionary,rfulleri2,abennetti2,12/6/2015,9,Tugrik
database,tchavezi3,amasoni3,9/4/2016,10,Rupiah
transitional,mcooki4,kwatkinsi4,8/26/2016,11,Rand
even-keeled,wcarteri5,dmorrisoni5,9/17/2015,12,Rupiah
non-volatile,rjenkinsi6,jcunninghami6,7/23/2016,4,Ruble
Reverse-engineered,nwashingtoni7,dfosteri7,10/23/2015,8,Euro
heuristic,lcollinsi8,dkelleyi8,11/19/2015,1,Euro
executive,lwagneri9,sfrazieri9,12/25/2015,12,Dinar
capability,chansenia,dfieldsia,4/26/2016,6,Yen
modular,amillsib,cfowlerib,11/7/2015,6,Peso
upward-trending,asanchezic,jcarric,2/27/2016,4,Yuan Renminbi
Managed,slopezid,bmorrisid,6/6/2016,1,Peso
optimizing,dwestie,amcdonaldie,10/3/2015,11,Yen
monitoring,bcollinsif,lbradleyif,8/28/2016,11,Peso
asymmetric,dbakerig,bwagnerig,2/29/2016,3,Euro
Self-enabling,jwalkerih,ggibsonih,7/27/2016,8,Yuan Renminbi
zero administration,ldavisii,bhughesii,9/29/2015,6,Peso
Multi-lateral,hhayesij,kharperij,9/5/2016,4,Shekel
Total,dhayesik,cdunnik,5/11/2016,1,Peso
coherent,mpalmeril,ckelleyil,4/28/2016,9,Rupiah
Visionary,whansenim,aallenim,8/27/2016,1,Lempira
website,jwoodsin,jgonzalesin,12/4/2015,12,Euro
challenge,jtaylorio,rfowlerio,1/18/2016,6,Real
Synchronised,egarzaip,mcolemanip,3/13/2016,4,Dollar
neutral,chawkinsiq,lhunteriq,12/5/2015,7,Yen
interface,jhansenir,efergusonir,9/10/2015,1,Dram
exuding,jyoungis,dbanksis,7/31/2016,12,Real
encryption,crileyit,aarnoldit,12/11/2015,7,Sol
leading edge,sstanleyiu,rtorresiu,6/6/2016,6,Zloty
Up-sized,rfosteriv,jcruziv,1/12/2016,7,Euro
Extended,gfrazieriw,rbrowniw,8/19/2016,11,Rupiah
secondary,lrayix,tboydix,5/25/2016,2,Yuan Renminbi
upward-trending,nporteriy,wcarteriy,11/23/2015,1,Naira
challenge,rfowleriz,rlopeziz,8/8/2016,7,Rupiah
Cross-group,awagnerj0,cweaverj0,11/11/2015,3,Peso
hierarchy,kedwardsj1,wshawj1,10/8/2015,7,Rial
grid-enabled,dellisj2,chayesj2,5/3/2016,1,Guarani
challenge,afieldsj3,jgriffinj3,4/8/2016,10,Krone
actuating,dmorrisj4,jrosej4,9/15/2015,10,Ruble
task-force,lgreenej5,jwebbj5,12/23/2015,4,Rupiah
extranet,hcarpenterj6,dspencerj6,12/20/2015,7,Naira
logistical,pmorrisj7,kgibsonj7,7/2/2016,7,Peso
Centralized,plopezj8,rcookj8,11/2/2015,6,Real
national,erogersj9,amillsj9,9/9/2016,8,Yuan Renminbi
bifurcated,cromeroja,jmorganja,7/20/2016,4,Baht
success,hknightjb,jreidjb,5/19/2016,4,Rupiah
Multi-lateral,jjacobsjc,aelliottjc,7/7/2016,3,Rupiah
help-desk,nbrownjd,gcolejd,3/21/2016,4,Yuan Renminbi
exuding,twillisje,ejenkinsje,5/20/2016,8,Zloty
Vision-oriented,dburtonjf,sryanjf,10/26/2015,5,Euro
conglomeration,lcarrolljg,fwellsjg,10/7/2015,4,Real
Compatible,sjohnsonjh,bschmidtjh,3/19/2016,1,Franc
Face to face,cfisherji,rsullivanji,5/27/2016,7,Dollar
Versatile,smurrayjj,jmeyerjj,5/17/2016,7,Dollar
matrices,amillerjk,rgreenejk,8/15/2016,6,Peso
heuristic,bhowardjl,dporterjl,9/4/2016,8,Koruna
Polarised,lharveyjm,wweaverjm,11/4/2015,4,Rupiah
system-worthy,bdayjn,jgrayjn,2/7/2016,1,Peso
human-resource,aruizjo,ahartjo,10/17/2015,9,Peso
Implemented,prodriguezjp,jrobertsonjp,2/10/2016,6,Yuan Renminbi
customer loyalty,trobinsonjq,sreynoldsjq,8/7/2016,2,Rupiah
Programmable,cscottjr,tmoralesjr,12/18/2015,2,Sol
Seamless,dcarterjs,dgutierrezjs,12/3/2015,10,Dollar
User-friendly,rmedinajt,brichardsjt,7/23/2016,1,Hryvnia
user-facing,jbaileyju,tdavisju,4/14/2016,9,Sol
Robust,bpetersjv,shamiltonjv,7/12/2016,7,Yuan Renminbi
24 hour,bfieldsjw,breynoldsjw,1/9/2016,2,Metical
Synergized,sburtonjx,jrichardsjx,8/30/2016,7,Franc
secured line,cwashingtonjy,sbrownjy,3/6/2016,9,Dong
Function-based,wcarrolljz,jchavezjz,2/2/2016,9,Dollar
bottom-line,kwoodk0,dstevensk0,2/12/2016,10,Dollar
utilisation,lmendozak1,fspencerk1,7/5/2016,5,Zloty
Assimilated,vrichardsonk2,lberryk2,12/20/2015,1,Real
Focused,howensk3,hfranklink3,2/24/2016,7,Peso
discrete,rmcdonaldk4,ariverak4,6/9/2016,2,Marka
infrastructure,wclarkk5,kwashingtonk5,6/19/2016,3,Krone
discrete,plawrencek6,hjonesk6,4/18/2016,7,Peso
Profit-focused,wlewisk7,dtaylork7,5/30/2016,10,Franc
system-worthy,jnelsonk8,sgordonk8,10/22/2015,12,Won
Integrated,hmorgank9,kschmidtk9,10/14/2015,10,Peso
Ameliorated,vhickska,sbarneska,11/5/2015,12,Krona
Enterprise-wide,cgarciakb,kreynoldskb,7/18/2016,7,Yuan Renminbi
throughput,dwoodskc,jrichardskc,4/23/2016,10,Dollar
systematic,parmstrongkd,mrobertskd,5/11/2016,11,Euro
holistic,jclarkke,pgarrettke,7/13/2016,5,Zloty
hub,mmoraleskf,vortizkf,12/31/2015,2,Zloty
Synchronised,lbankskg,rknightkg,9/20/2015,5,Ruble
paradigm,ecarrkh,jrosekh,5/11/2016,11,Euro
help-desk,ejacksonki,kmontgomeryki,2/12/2016,3,Peso
discrete,efrazierkj,jberrykj,2/1/2016,6,Yuan Renminbi
standardization,areynoldskk,csimpsonkk,5/31/2016,2,Yuan Renminbi
secured line,scruzkl,jstonekl,6/30/2016,5,Krone
middleware,dgilbertkm,ddunnkm,5/23/2016,2,Rupiah
initiative,sgeorgekn,lgarzakn,5/19/2016,5,Rupiah
project,emendozako,rfullerko,1/20/2016,10,Rupiah
Advanced,ppaynekp,bedwardskp,5/20/2016,5,Real
reciprocal,lkelleykq,charrisonkq,11/19/2015,10,Franc
Switchable,tmorriskr,tmartinezkr,8/28/2016,8,Rupiah
Proactive,rbakerks,jsullivanks,7/20/2016,12,Dinar
zero tolerance,mcunninghamkt,mbrookskt,10/25/2015,8,Dalasi
orchestration,polsonku,jedwardsku,8/18/2016,7,Yuan Renminbi
Front-line,epowellkv,jscottkv,2/2/2016,10,Yuan Renminbi
maximized,probinsonkw,hbakerkw,1/2/2016,11,Yuan Renminbi
local,whenrykx,mmurraykx,4/13/2016,12,Real
full-range,kruizky,acarpenterky,6/19/2016,12,Zloty
attitude,mandersonkz,jevanskz,12/14/2015,6,Real
composite,smccoyl0,lalexanderl0,7/5/2016,3,Yuan Renminbi
Compatible,rlongl1,atorresl1,7/2/2016,3,Yuan Renminbi
Optimized,aellisl2,msanchezl2,8/29/2016,3,Euro
Reverse-engineered,jscottl3,jaustinl3,11/19/2015,1,Real
Digitized,jjacobsl4,bduncanl4,1/20/2016,10,Ruble
database,dtorresl5,tburkel5,4/7/2016,3,Yuan Renminbi
leading edge,njohnstonl6,knguyenl6,3/6/2016,8,Real
modular,mbaileyl7,pdixonl7,7/26/2016,8,Zloty
Balanced,llewisl8,erayl8,9/9/2016,11,Yuan Renminbi
moderator,lmoorel9,ipaynel9,12/20/2015,6,Euro
monitoring,dpattersonla,kpalmerla,5/22/2016,1,Bolivar
Optimized,mrobertslb,mhudsonlb,4/21/2016,3,Yuan Renminbi
24 hour,pcampbelllc,jmillerlc,10/4/2015,11,Rupiah
solution-oriented,ebradleyld,edavisld,10/16/2015,11,Euro
Grass-roots,cchapmanle,efernandezle,5/1/2016,3,Zloty
Self-enabling,bmasonlf,rpricelf,5/10/2016,5,Dinar
Multi-channelled,rporterlg,sshawlg,10/9/2015,10,Yuan Renminbi
bi-directional,gtuckerlh,hmorrisonlh,9/23/2015,12,Yuan Renminbi
Progressive,ameyerli,dsimmonsli,6/6/2016,5,Yen
process improvement,cbennettlj,cmedinalj,10/27/2015,11,Pound
high-level,lrobertsonlk,jvasquezlk,7/2/2016,8,Euro
Stand-alone,jrobertsll,ryoungll,10/24/2015,7,Euro
Secured,aandrewslm,jmccoylm,1/3/2016,2,Peso
next generation,sgreeneln,dstevensln,10/19/2015,7,Real
Public-key,hmorenolo,tvasquezlo,1/27/2016,10,Rupiah
neural-net,rfranklinlp,jperkinslp,12/17/2015,12,Euro
zero administration,smurphylq,pdiazlq,1/14/2016,3,Real
discrete,mclarklr,nreidlr,8/23/2016,11,Rupiah
structure,pelliottls,mfoxls,4/12/2016,4,Baht
Switchable,ngomezlt,ascottlt,10/10/2015,8,Yuan Renminbi
6th generation,kkellylu,tchapmanlu,7/18/2016,7,Koruna
capability,amartinezlv,sgarcialv,2/25/2016,12,Rupiah
groupware,igonzaleslw,jfosterlw,4/17/2016,10,Baht
well-modulated,drileylx,aholmeslx,8/29/2016,8,Krona
Graphic Interface,jmorganly,jjenkinsly,7/23/2016,12,Yuan Renminbi
throughput,barmstronglz,srodriguezlz,11/25/2015,2,Rial
Re-contextualized,blawrencem0,lrussellm0,11/18/2015,6,Euro
web-enabled,phartm1,sgarciam1,7/5/2016,9,Yuan Renminbi
composite,breyesm2,jlynchm2,5/31/2016,2,Yuan Renminbi
moderator,agrantm3,alittlem3,1/17/2016,1,Manat
4th generation,rperkinsm4,hwhitem4,12/11/2015,12,Yuan Renminbi
content-based,syoungm5,aellism5,4/10/2016,11,Peso
3rd generation,swallacem6,mcolemanm6,7/23/2016,4,Euro
implementation,smorrism7,djonesm7,9/23/2015,5,Ruble
paradigm,alanem8,cstephensm8,6/7/2016,2,Yuan Renminbi
regional,snguyenm9,fellism9,10/8/2015,12,Euro
Organized,eharveyma,jcolemanma,7/30/2016,7,Rupiah
client-driven,jbarnesmb,trichardsonmb,7/5/2016,1,Yuan Renminbi
regional,aburnsmc,acolemc,10/19/2015,4,Yuan Renminbi
neutral,athomasmd,smontgomerymd,12/12/2015,3,Rupiah
systemic,ddiazme,bgilbertme,1/22/2016,10,Euro
concept,plawrencemf,wmillermf,6/24/2016,8,Euro
middleware,cdavismg,rcoxmg,7/18/2016,8,Rupiah
flexibility,bellismh,mjohnstonmh,3/14/2016,9,Euro
monitoring,cdaymi,bwallacemi,3/7/2016,1,Kyat
Switchable,ebanksmj,calvarezmj,4/20/2016,8,Hryvnia
Progressive,pfloresmk,rbennettmk,12/12/2015,3,Real
paradigm,jmartinezml,hchavezml,12/8/2015,1,Ruble
Front-line,sgeorgemm,hwarrenmm,10/21/2015,3,Rupee
tertiary,jowensmn,parnoldmn,7/5/2016,1,Krona
application,knicholsmo,rcolemanmo,9/18/2015,8,Real
hierarchy,dreyesmp,jmyersmp,3/30/2016,5,Sol
algorithm,swoodmq,mwalkermq,8/26/2016,12,Yuan Renminbi
Assimilated,jfordmr,kfowlermr,7/27/2016,7,Real
Expanded,ccolemanms,dcastilloms,7/29/2016,12,Ruble
extranet,pknightmt,gleemt,3/20/2016,5,Yuan Renminbi
Cloned,dperrymu,rhernandezmu,11/12/2015,3,Euro
Cross-platform,fowensmv,bnelsonmv,3/21/2016,6,Dong
access,jmorrisonmw,jpaynemw,10/28/2015,10,Euro
Realigned,slynchmx,cschmidtmx,9/24/2015,9,Peso
leverage,blarsonmy,gfishermy,5/31/2016,9,Sol
Innovative,kharveymz,hmontgomerymz,10/31/2015,9,Yuan Renminbi
Balanced,hlewisn0,jbryantn0,12/22/2015,6,Real
optimizing,rwhiten1,mhartn1,1/23/2016,8,Hryvnia
intangible,tfernandezn2,sjohnsonn2,2/6/2016,6,Zloty
matrices,imorrisn3,bcoxn3,4/19/2016,1,Dollar
object-oriented,jrodriguezn4,tolivern4,3/11/2016,3,Sol
intermediate,cwelchn5,smooren5,2/23/2016,4,Euro
Up-sized,jburken6,awilsonn6,12/10/2015,4,Yuan Renminbi
Triple-buffered,mburken7,jmontgomeryn7,7/30/2016,1,Zloty
dedicated,ajamesn8,cnelsonn8,8/15/2016,9,Rupiah
Optional,afullern9,jnguyenn9,7/15/2016,6,Yuan Renminbi
contingency,jrobinsonna,wgarciana,9/14/2015,2,Yen
Reactive,bwestnb,lrussellnb,2/4/2016,11,Ruble
help-desk,fclarknc,dcollinsnc,10/27/2015,7,Peso
Multi-layered,khallnd,rwilliamsnd,10/23/2015,3,Peso
incremental,breyesne,pwagnerne,12/11/2015,7,Yuan Renminbi
database,jphillipsnf,bhansennf,2/12/2016,7,Sol
data-warehouse,shunterng,ccoleng,8/13/2016,3,Rupiah
user-facing,kfraziernh,edeannh,8/8/2016,4,Euro
Centralized,dkelleyni,kwhiteni,6/24/2016,8,Euro
Organic,kcolemannj,kcastillonj,6/29/2016,3,Dram
Polarised,apetersnk,dreidnk,9/9/2016,1,Yuan Renminbi
Assimilated,whansennl,lcastillonl,12/30/2015,2,Yuan Renminbi
Object-based,mgarzanm,sburkenm,12/15/2015,9,Real
challenge,jhamiltonnn,bstephensnn,7/27/2016,8,Peso
