medium,transaction_date,amount,description
Reduced,2/8/2016,$8.70,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
capacity,11/14/2015,$2.39,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
encoding,5/16/2016,$5.08,ligula vehicula consequat morbi a ipsum integer a nibh in quis
leading edge,8/10/2016,$1.99,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
Cloned,7/24/2016,$5.09,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
cohesive,8/19/2016,$3.36,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
middleware,11/13/2015,$4.96,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
matrices,12/2/2015,$6.05,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh
open system,7/21/2016,$8.17,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
capacity,9/11/2015,$4.19,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
context-sensitive,10/12/2015,$5.24,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat
focus group,12/11/2015,$8.69,quis lectus suspendisse potenti in eleifend quam a odio in
solution,10/2/2015,$2.47,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
Stand-alone,2/1/2016,$8.54,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
De-engineered,4/5/2016,$3.41,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam
Team-oriented,5/11/2016,$2.28,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
Operative,1/12/2016,$2.28,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
bottom-line,12/10/2015,$0.11,cras mi pede malesuada in imperdiet et commodo vulputate justo in
Cross-platform,3/22/2016,$8.54,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
Focused,11/28/2015,$0.43,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
Team-oriented,1/17/2016,$4.51,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
archive,6/11/2016,$7.11,dui proin leo odio porttitor id consequat in consequat ut
Focused,4/28/2016,$9.84,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
homogeneous,1/12/2016,$6.83,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
Networked,9/17/2015,$4.90,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis
Stand-alone,8/3/2016,$5.40,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas
systemic,12/25/2015,$7.71,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
groupware,9/26/2015,$9.44,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
Graphical User Interface,11/21/2015,$7.72,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
Function-based,6/4/2016,$7.29,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
groupware,1/4/2016,$5.59,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
knowledge base,6/17/2016,$0.13,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
help-desk,5/28/2016,$6.20,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
knowledge base,2/12/2016,$3.14,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
tertiary,6/26/2016,$7.92,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
empowering,3/6/2016,$0.91,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
array,9/27/2015,$9.33,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
Synergistic,7/17/2016,$2.14,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis
local area network,5/9/2016,$4.11,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
moderator,12/19/2015,$6.58,urna pretium nisl ut volutpat sapien arcu sed augue aliquam
product,8/10/2016,$3.19,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
client-server,1/4/2016,$4.38,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
task-force,5/8/2016,$5.14,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
Focused,11/16/2015,$7.93,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
protocol,7/29/2016,$7.27,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
attitude-oriented,5/22/2016,$4.64,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
alliance,2/15/2016,$0.45,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
capacity,7/31/2016,$5.96,dui maecenas tristique est et tempus semper est quam pharetra magna
foreground,12/13/2015,$5.31,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
success,3/16/2016,$6.59,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
Monitored,9/30/2015,$6.64,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
composite,2/20/2016,$4.29,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
Devolved,1/22/2016,$1.60,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien
bi-directional,10/24/2015,$4.24,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
heuristic,7/17/2016,$0.43,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
directional,6/19/2016,$4.53,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
toolset,7/11/2016,$0.38,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
Assimilated,4/25/2016,$5.49,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
client-driven,7/25/2016,$1.57,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
local area network,4/29/2016,$9.01,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
static,4/11/2016,$5.93,dui maecenas tristique est et tempus semper est quam pharetra magna
intermediate,11/24/2015,$3.81,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
Streamlined,10/9/2015,$9.55,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
attitude,4/15/2016,$4.74,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna
tertiary,8/11/2016,$4.18,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
help-desk,1/22/2016,$4.43,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
workforce,9/28/2015,$2.13,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
Exclusive,9/19/2015,$6.43,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
solution-oriented,5/16/2016,$5.09,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
intangible,2/2/2016,$7.55,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
Fundamental,8/16/2016,$1.62,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
definition,10/4/2015,$2.45,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
Multi-layered,1/5/2016,$5.37,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
global,7/1/2016,$0.52,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
Inverse,4/30/2016,$4.32,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
incremental,6/9/2016,$2.74,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
incremental,8/19/2016,$1.65,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
Future-proofed,12/10/2015,$0.90,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
non-volatile,5/24/2016,$8.51,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
5th generation,1/15/2016,$5.95,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
high-level,2/12/2016,$8.24,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
responsive,10/3/2015,$8.11,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
policy,8/29/2016,$1.77,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
attitude-oriented,6/6/2016,$4.74,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
needs-based,6/19/2016,$4.26,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
Front-line,11/12/2015,$1.06,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
Universal,3/3/2016,$9.99,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
Quality-focused,1/15/2016,$5.28,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et
3rd generation,4/25/2016,$7.33,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
Organized,12/15/2015,$3.31,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
transitional,5/26/2016,$3.90,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
Public-key,4/7/2016,$7.21,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
productivity,7/26/2016,$4.47,in felis eu sapien cursus vestibulum proin eu mi nulla ac
5th generation,4/10/2016,$2.12,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
Public-key,11/11/2015,$6.97,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus
scalable,11/11/2015,$7.13,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
demand-driven,2/16/2016,$2.30,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
approach,5/26/2016,$4.07,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
client-server,7/23/2016,$5.04,quis turpis sed ante vivamus tortor duis mattis egestas metus
tangible,10/16/2015,$1.32,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
Re-contextualized,7/18/2016,$3.41,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
Centralized,11/5/2015,$3.50,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
matrix,12/1/2015,$4.33,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
Customer-focused,1/14/2016,$2.56,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Cloned,12/26/2015,$0.95,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
human-resource,10/4/2015,$1.09,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
user-facing,7/5/2016,$1.49,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
static,1/19/2016,$1.44,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
Upgradable,4/2/2016,$9.56,vel nisl duis ac nibh fusce lacus purus aliquet at
Polarised,10/23/2015,$4.35,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
static,8/9/2016,$9.29,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
attitude,12/26/2015,$0.14,in congue etiam justo etiam pretium iaculis justo in hac
migration,5/15/2016,$0.36,accumsan tellus nisi eu orci mauris lacinia sapien quis libero
Synergistic,1/7/2016,$6.86,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
hierarchy,6/8/2016,$1.75,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
project,5/16/2016,$8.35,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
grid-enabled,4/23/2016,$1.78,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
regional,9/23/2015,$6.55,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
Profit-focused,4/30/2016,$1.03,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
4th generation,8/2/2016,$4.07,venenatis turpis enim blandit mi in porttitor pede justo eu
Distributed,6/2/2016,$6.60,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
matrices,8/1/2016,$2.38,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
matrices,12/18/2015,$1.08,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
Cross-group,8/5/2016,$7.30,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
transitional,12/25/2015,$8.25,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
motivating,2/18/2016,$8.21,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
instruction set,1/26/2016,$9.59,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
algorithm,1/6/2016,$6.87,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
installation,8/9/2016,$8.65,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
Quality-focused,12/24/2015,$2.71,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
forecast,8/28/2016,$0.66,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
functionalities,7/18/2016,$4.04,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
Programmable,7/21/2016,$2.07,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
holistic,5/17/2016,$0.19,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
infrastructure,3/10/2016,$6.91,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
Monitored,9/13/2015,$5.14,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
zero tolerance,3/22/2016,$0.85,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
zero tolerance,7/28/2016,$7.43,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
discrete,9/1/2016,$8.20,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
client-server,12/24/2015,$3.80,a odio in hac habitasse platea dictumst maecenas ut massa quis augue
Triple-buffered,9/29/2015,$7.79,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
Digitized,3/29/2016,$0.00,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
Exclusive,6/26/2016,$5.96,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
actuating,10/3/2015,$3.78,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
framework,9/2/2016,$9.94,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
maximized,5/29/2016,$7.78,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
leading edge,4/28/2016,$7.02,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
Seamless,10/17/2015,$5.08,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
encompassing,10/20/2015,$6.48,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
hardware,12/19/2015,$8.75,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
standardization,7/27/2016,$7.23,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
moderator,4/21/2016,$3.49,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
even-keeled,8/7/2016,$6.12,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
reciprocal,9/13/2015,$2.14,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
software,1/26/2016,$9.91,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
regional,8/12/2016,$7.09,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
coherent,2/27/2016,$3.70,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
incremental,7/27/2016,$5.50,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
info-mediaries,7/1/2016,$9.26,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
intangible,10/2/2015,$3.98,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
Grass-roots,9/11/2015,$7.50,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Stand-alone,8/2/2016,$0.24,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
Adaptive,7/30/2016,$1.43,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
Adaptive,8/28/2016,$6.57,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
Customer-focused,7/28/2016,$1.89,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim
hardware,6/3/2016,$1.72,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
structure,2/12/2016,$7.82,ac diam cras pellentesque volutpat dui maecenas tristique est et
Object-based,4/27/2016,$1.41,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
disintermediate,5/18/2016,$2.83,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
content-based,5/9/2016,$8.10,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
Graphical User Interface,7/11/2016,$8.12,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
national,4/24/2016,$9.49,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
Open-source,4/12/2016,$7.60,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
toolset,12/14/2015,$0.62,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
Digitized,2/24/2016,$8.51,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
superstructure,10/20/2015,$7.91,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
attitude-oriented,9/15/2015,$3.76,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo
Universal,8/22/2016,$2.76,lacus at turpis donec posuere metus vitae ipsum aliquam non
bottom-line,10/5/2015,$5.74,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
moderator,5/18/2016,$2.35,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
grid-enabled,6/7/2016,$8.49,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
policy,8/10/2016,$9.10,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor
Enhanced,6/5/2016,$9.18,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
alliance,7/15/2016,$2.66,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
product,9/29/2015,$2.75,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in
Reduced,10/6/2015,$5.82,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
Switchable,4/10/2016,$1.22,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
empowering,3/10/2016,$8.09,consequat in consequat ut nulla sed accumsan felis ut at
emulation,10/7/2015,$4.28,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
Switchable,9/9/2016,$4.97,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
adapter,6/18/2016,$0.90,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
Stand-alone,3/5/2016,$2.42,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
De-engineered,3/2/2016,$10.00,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
migration,2/17/2016,$1.23,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
access,8/25/2016,$7.50,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
Grass-roots,10/3/2015,$7.04,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
Horizontal,6/25/2016,$1.16,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
contingency,11/14/2015,$2.81,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
User-friendly,8/14/2016,$4.35,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
emulation,1/2/2016,$6.26,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
cohesive,12/25/2015,$2.72,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
array,1/17/2016,$0.99,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
analyzer,7/30/2016,$8.96,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
logistical,11/2/2015,$5.73,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet
encompassing,7/9/2016,$1.11,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
clear-thinking,3/26/2016,$3.87,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
data-warehouse,5/17/2016,$0.48,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
success,8/19/2016,$9.38,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
impactful,7/3/2016,$5.87,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
core,1/25/2016,$7.12,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
task-force,4/26/2016,$3.78,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
intangible,10/4/2015,$4.30,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
Realigned,5/15/2016,$5.84,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
Grass-roots,6/18/2016,$7.55,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
artificial intelligence,4/5/2016,$8.64,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
initiative,3/28/2016,$9.88,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
leading edge,3/19/2016,$5.61,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
hybrid,2/27/2016,$7.09,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
Cloned,5/13/2016,$5.54,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem
forecast,7/30/2016,$8.45,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
homogeneous,5/12/2016,$5.18,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
Assimilated,11/15/2015,$6.75,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
Visionary,10/29/2015,$1.12,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
background,10/21/2015,$2.61,metus aenean fermentum donec ut mauris eget massa tempor convallis
orchestration,3/31/2016,$6.42,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
Multi-tiered,8/13/2016,$3.41,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
Cross-platform,8/27/2016,$9.02,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
next generation,3/23/2016,$4.25,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
Seamless,7/31/2016,$8.71,ac lobortis vel dapibus at diam nam tristique tortor eu
client-server,10/4/2015,$4.04,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
disintermediate,1/24/2016,$4.72,cursus vestibulum proin eu mi nulla ac enim in tempor turpis
model,2/8/2016,$7.17,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
Horizontal,12/16/2015,$6.85,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
reciprocal,9/16/2015,$7.81,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
Up-sized,7/5/2016,$3.67,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim
framework,11/17/2015,$2.64,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
multi-tasking,3/19/2016,$1.78,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non
grid-enabled,3/6/2016,$5.46,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
