merchant_id,medium,purchase_date,amount,description
69-485-2035,6th generation,9/26/2015,$52174.67,nulla dapibus dolor vel est donec odio justo sollicitudin ut
05-965-5627,Compatible,2/23/2016,$24211.15,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum
54-344-4416,focus group,11/26/2015,$52542.66,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
65-761-2464,3rd generation,2/20/2016,$68001.42,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
20-915-4035,clear-thinking,5/28/2016,$70213.66,ante vestibulum ante ipsum primis in faucibus orci luctus et
88-906-9490,contextually-based,7/16/2016,$45697.31,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
96-787-2270,Triple-buffered,11/17/2015,$63450.38,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
85-296-9609,uniform,5/7/2016,$7353.99,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
18-836-3075,artificial intelligence,9/6/2016,$79045.13,at dolor quis odio consequat varius integer ac leo pellentesque ultrices
69-394-1663,installation,11/13/2015,$61271.82,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
05-881-2137,Synergistic,3/27/2016,$41164.76,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
75-349-4602,Versatile,10/10/2015,$45134.34,in lectus pellentesque at nulla suspendisse potenti cras in purus
03-617-3238,actuating,7/31/2016,$19442.55,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
77-403-8388,protocol,8/1/2016,$38413.91,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
07-382-1222,mobile,10/5/2015,$26052.59,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
38-286-7956,intangible,6/23/2016,$22014.62,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
58-811-4168,service-desk,10/22/2015,$96724.10,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
49-727-0963,empowering,8/20/2016,$36815.95,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
86-627-0366,core,7/8/2016,$23052.87,duis aliquam convallis nunc proin at turpis a pede posuere nonummy
63-261-9859,toolset,8/5/2016,$1465.48,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
19-558-6773,Fully-configurable,1/26/2016,$74045.74,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
86-281-3935,dedicated,9/4/2016,$88960.57,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
05-887-6046,installation,3/13/2016,$71536.65,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
47-376-2856,Integrated,2/27/2016,$6459.71,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient
76-980-2754,Ergonomic,6/6/2016,$76684.64,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
79-609-5784,Grass-roots,6/21/2016,$15443.95,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
21-620-8848,Persevering,7/22/2016,$17551.13,integer ac neque duis bibendum morbi non quam nec dui luctus
33-660-5614,Virtual,6/7/2016,$53695.92,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
41-176-2078,moderator,4/24/2016,$66812.82,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
87-135-3329,intangible,3/19/2016,$60706.39,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
64-618-6654,middleware,6/8/2016,$84080.81,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
13-027-0088,grid-enabled,1/15/2016,$77879.19,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
00-226-7899,De-engineered,6/15/2016,$14549.07,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
29-840-2373,bifurcated,9/12/2015,$84247.43,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa
55-538-2163,holistic,5/26/2016,$78612.71,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
39-150-5993,superstructure,8/30/2016,$26636.08,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
88-407-9099,monitoring,8/2/2016,$42492.62,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
05-840-8040,system engine,1/27/2016,$99558.95,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
53-757-8765,tangible,11/21/2015,$59226.32,in tempus sit amet sem fusce consequat nulla nisl nunc
79-398-4453,contingency,1/2/2016,$26548.84,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
99-647-3609,throughput,5/9/2016,$44081.28,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
86-787-4226,exuding,9/21/2015,$40376.28,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
50-434-5515,Profit-focused,11/16/2015,$78372.69,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
69-366-9091,instruction set,11/27/2015,$79270.23,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
30-754-6695,model,1/8/2016,$26273.98,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
94-440-1191,support,4/8/2016,$1712.75,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
98-999-3294,Switchable,1/21/2016,$1096.08,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
15-585-7283,Inverse,6/13/2016,$81756.69,magna vulputate luctus cum sociis natoque penatibus et magnis dis
18-100-3592,benchmark,6/6/2016,$72512.18,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
58-723-6849,neutral,2/2/2016,$57141.31,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
71-503-1276,Right-sized,5/11/2016,$78840.54,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
26-066-8097,emulation,5/17/2016,$81653.66,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
95-778-0394,Progressive,3/2/2016,$77049.04,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
90-111-4272,Face to face,2/1/2016,$43827.39,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
18-066-4984,hardware,3/4/2016,$17968.25,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget
38-567-3563,Quality-focused,11/8/2015,$6748.21,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus
15-668-2411,interactive,1/27/2016,$85262.34,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
66-018-3433,regional,7/29/2016,$61990.62,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc
13-486-3318,help-desk,12/9/2015,$75721.71,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
79-564-6917,projection,3/6/2016,$46975.05,id nulla ultrices aliquet maecenas leo odio condimentum id luctus
30-775-2887,Public-key,6/30/2016,$74415.86,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
28-889-7498,collaboration,9/21/2015,$69234.43,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
01-870-3013,Enterprise-wide,12/16/2015,$50242.53,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
39-926-4231,Profound,1/29/2016,$36090.51,ornare consequat lectus in est risus auctor sed tristique in tempus
46-604-3658,Cross-group,12/5/2015,$16401.75,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
18-482-7056,impactful,2/6/2016,$46766.06,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
04-104-0367,infrastructure,7/19/2016,$87293.07,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
24-571-2268,alliance,5/21/2016,$62683.87,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
97-893-2637,collaboration,2/26/2016,$46583.56,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
28-433-6841,national,8/3/2016,$64451.53,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
81-375-5003,Compatible,3/11/2016,$35245.64,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
96-607-1090,User-centric,7/6/2016,$83792.23,volutpat sapien arcu sed augue aliquam erat volutpat in congue
88-831-4829,Face to face,6/30/2016,$71213.71,placerat praesent blandit nam nulla integer pede justo lacinia eget
11-725-3210,complexity,2/14/2016,$83110.80,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
01-459-7911,Compatible,1/11/2016,$32408.22,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
44-400-6988,multi-state,6/27/2016,$89941.01,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
55-813-4388,strategy,4/8/2016,$80485.57,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
26-314-8572,array,6/12/2016,$62294.49,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
35-634-4556,Diverse,12/6/2015,$93631.45,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
50-751-4757,Synergistic,8/24/2016,$34164.11,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
54-861-1282,framework,1/5/2016,$42580.84,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
42-667-2441,hierarchy,4/9/2016,$70.23,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
20-724-1046,hardware,11/28/2015,$68771.53,nullam orci pede venenatis non sodales sed tincidunt eu felis
17-985-7360,scalable,10/5/2015,$6621.04,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
59-548-5246,array,2/26/2016,$70655.88,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
65-730-3427,paradigm,12/6/2015,$4973.00,quam nec dui luctus rutrum nulla tellus in sagittis dui
06-690-1895,migration,7/23/2016,$11644.38,nisl nunc rhoncus dui vel sem sed sagittis nam congue
18-419-7647,Devolved,9/20/2015,$29122.59,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
44-196-7063,groupware,7/4/2016,$34473.69,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
20-907-8394,Team-oriented,6/2/2016,$34896.43,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor
40-326-2169,encryption,10/29/2015,$45946.35,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
18-885-3501,neural-net,2/4/2016,$91799.30,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
18-870-8153,24/7,6/19/2016,$18922.54,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
96-867-7965,architecture,12/25/2015,$86175.08,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
00-478-2990,needs-based,8/2/2016,$92047.13,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
73-327-2723,tertiary,12/17/2015,$93218.54,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
84-201-1426,Reduced,11/5/2015,$76852.32,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
95-857-5400,access,5/1/2016,$96417.16,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
48-311-3284,Function-based,9/27/2015,$38083.21,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
77-757-7977,hierarchy,7/8/2016,$92653.52,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
70-648-4810,bandwidth-monitored,6/20/2016,$99264.40,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
21-587-0588,Streamlined,2/25/2016,$40626.93,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit
79-772-0291,Horizontal,8/7/2016,$77903.17,duis bibendum morbi non quam nec dui luctus rutrum nulla
74-655-5635,monitoring,1/7/2016,$96747.07,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
82-115-9003,Multi-layered,2/18/2016,$46389.31,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
38-236-7002,even-keeled,8/30/2016,$6642.57,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
33-581-8276,Multi-channelled,6/30/2016,$47804.56,id sapien in sapien iaculis congue vivamus metus arcu adipiscing
91-976-4032,time-frame,3/1/2016,$26875.94,potenti in eleifend quam a odio in hac habitasse platea
43-500-4562,context-sensitive,7/24/2016,$15865.14,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
27-812-8545,Front-line,7/24/2016,$54218.31,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
97-221-2306,software,9/2/2016,$5404.41,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
57-059-1965,Seamless,8/9/2016,$48121.79,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
60-474-6176,website,2/16/2016,$89009.77,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
18-072-5526,orchestration,3/13/2016,$17082.53,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
07-543-4471,Reverse-engineered,2/15/2016,$56687.69,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem
69-025-1767,emulation,3/20/2016,$47752.17,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
79-810-4318,Persistent,7/4/2016,$34014.85,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
10-132-9802,didactic,4/28/2016,$12541.20,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
78-319-4504,Mandatory,7/18/2016,$74379.28,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
96-438-5797,core,6/23/2016,$94760.38,donec semper sapien a libero nam dui proin leo odio
57-405-8256,infrastructure,4/6/2016,$90707.39,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec
51-640-7553,Programmable,11/8/2015,$45900.71,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
28-777-1961,Public-key,8/24/2016,$5147.70,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
48-641-1727,encompassing,4/24/2016,$89897.58,felis ut at dolor quis odio consequat varius integer ac leo pellentesque
56-378-6678,policy,6/27/2016,$5582.91,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
76-138-1573,parallelism,7/18/2016,$46930.50,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
34-222-4850,frame,8/2/2016,$59334.47,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
07-892-4475,upward-trending,12/4/2015,$72839.63,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
95-446-2073,radical,8/8/2016,$72768.16,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
68-011-5193,software,12/25/2015,$36565.49,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
04-599-6873,grid-enabled,12/11/2015,$12525.76,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
07-238-3045,secondary,6/29/2016,$53424.50,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget
07-275-0416,focus group,9/18/2015,$13655.39,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
20-199-5113,Ameliorated,3/26/2016,$87427.35,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
75-553-1005,pricing structure,5/28/2016,$72660.41,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien
79-704-6731,Vision-oriented,3/21/2016,$81493.60,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
64-769-7828,frame,1/3/2016,$91110.96,odio porttitor id consequat in consequat ut nulla sed accumsan
10-930-0556,Organic,9/4/2016,$25685.13,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus
66-033-7275,paradigm,7/29/2016,$64229.40,consequat in consequat ut nulla sed accumsan felis ut at dolor
95-684-6020,Multi-lateral,6/9/2016,$51559.81,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
79-987-9807,dedicated,4/16/2016,$65314.90,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
20-694-9807,system engine,5/27/2016,$99115.24,fusce posuere felis sed lacus morbi sem mauris laoreet ut
58-040-0007,24/7,4/27/2016,$627.68,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
11-171-9224,neural-net,10/26/2015,$58091.36,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
34-929-1599,Implemented,11/19/2015,$69268.37,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien
77-078-5563,Assimilated,10/25/2015,$97380.84,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec
91-567-3076,matrix,12/9/2015,$29278.14,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
48-255-1431,Team-oriented,11/10/2015,$75811.44,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
86-035-6937,local,10/31/2015,$18321.08,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
82-028-2220,Ameliorated,12/8/2015,$13700.76,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
59-406-1312,holistic,12/25/2015,$44003.64,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
14-454-1247,hierarchy,8/19/2016,$2228.27,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet
51-898-8565,Down-sized,3/20/2016,$99560.25,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
51-032-4926,conglomeration,5/30/2016,$71641.99,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
33-392-7970,national,11/23/2015,$83462.67,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
60-014-8961,customer loyalty,6/25/2016,$6347.11,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
48-757-8561,hardware,10/20/2015,$26679.19,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
16-936-1813,maximized,7/30/2016,$50341.97,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
01-647-9069,access,8/13/2016,$13797.02,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
52-087-0326,application,7/22/2016,$62154.15,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
71-596-1230,human-resource,4/22/2016,$76827.04,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
17-287-5320,neural-net,4/7/2016,$56764.85,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
77-176-0250,demand-driven,3/11/2016,$29248.25,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
74-365-3723,knowledge user,6/1/2016,$3416.03,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
12-605-8151,archive,11/27/2015,$50935.46,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
43-303-2085,leverage,10/4/2015,$42809.24,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
26-915-9945,archive,12/13/2015,$76135.98,nulla suscipit ligula in lacus curabitur at ipsum ac tellus
87-814-2866,Team-oriented,5/21/2016,$9380.60,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
10-132-7464,full-range,6/16/2016,$10531.95,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
06-597-1373,Extended,4/29/2016,$27182.80,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
57-082-6039,Adaptive,3/27/2016,$84823.29,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
76-082-9311,success,12/12/2015,$64847.64,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
27-673-0666,composite,3/5/2016,$33585.12,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
79-674-9513,service-desk,8/25/2016,$87520.41,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
69-868-4137,stable,6/9/2016,$21744.95,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a
14-217-4814,architecture,4/7/2016,$89346.82,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
71-086-2996,hybrid,11/30/2015,$79416.68,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
69-396-3630,Sharable,11/10/2015,$30791.22,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
97-857-1276,Open-source,1/12/2016,$24583.00,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
76-668-6352,hybrid,2/16/2016,$63565.05,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
37-449-2619,6th generation,5/13/2016,$54297.83,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
53-745-1537,reciprocal,5/11/2016,$38611.47,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
94-340-2635,Re-engineered,8/6/2016,$50249.96,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
16-598-0707,collaboration,9/7/2016,$61598.49,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
23-245-9113,open architecture,10/23/2015,$14006.79,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
28-655-3872,Automated,1/25/2016,$28525.98,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
63-116-3633,Configurable,1/18/2016,$27337.20,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
85-762-0726,model,12/15/2015,$80975.14,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
43-253-3982,grid-enabled,3/28/2016,$34657.45,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
47-534-3856,approach,9/14/2015,$3566.79,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
55-993-8359,framework,1/13/2016,$79753.85,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
67-048-3829,User-centric,8/6/2016,$21800.18,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
63-759-0633,Secured,7/24/2016,$67524.96,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
04-151-9316,orchestration,6/4/2016,$74244.02,vel sem sed sagittis nam congue risus semper porta volutpat
99-461-4899,value-added,9/5/2016,$13422.32,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
58-547-4964,alliance,7/20/2016,$88933.88,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
68-382-5593,Focused,3/23/2016,$38224.21,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
82-980-0622,Enterprise-wide,12/8/2015,$31695.60,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
66-133-6373,info-mediaries,2/24/2016,$23419.74,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
22-841-1548,incremental,6/4/2016,$36373.55,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
96-421-4357,Profit-focused,8/1/2016,$78649.97,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
60-676-5329,Intuitive,12/31/2015,$22340.81,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
04-521-0219,multimedia,2/6/2016,$77039.75,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
24-366-5070,solution,6/18/2016,$71642.63,aliquet massa id lobortis convallis tortor risus dapibus augue vel
89-343-9011,support,2/14/2016,$6883.49,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
23-981-9128,help-desk,12/10/2015,$97868.64,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
84-138-3613,non-volatile,7/13/2016,$81671.68,est risus auctor sed tristique in tempus sit amet sem
11-222-2704,Inverse,12/19/2015,$37272.96,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
85-428-2672,complexity,9/20/2015,$12042.41,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
