medium,payee_id,amount,transaction_date,description
Future-proofed,09-177-4482,$23005.04,4/3/2016,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient
success,28-698-0334,$43645.19,7/13/2016,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
optimal,89-111-6767,$8801.18,11/2/2015,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in
zero administration,53-933-9218,$76855.68,7/5/2016,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
Re-contextualized,93-975-6172,$49962.42,1/12/2016,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa
24 hour,10-470-6459,$67190.30,5/20/2016,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
Organized,55-937-3159,$23257.42,5/31/2016,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
Optimized,93-647-0664,$41797.81,9/15/2015,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
contextually-based,88-519-9827,$41098.52,10/12/2015,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin
model,87-009-6750,$28491.05,8/14/2016,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
hub,00-333-9817,$7523.43,1/5/2016,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
Balanced,23-289-9145,$66219.37,9/10/2015,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
Reduced,53-755-0512,$6026.38,8/8/2016,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
homogeneous,73-725-7468,$55534.08,8/16/2016,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
Graphical User Interface,09-992-2439,$69319.73,4/8/2016,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
Customer-focused,00-966-9534,$49051.84,2/11/2016,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget
collaboration,65-571-8425,$40485.84,5/13/2016,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
uniform,64-215-5651,$51574.85,6/28/2016,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
capacity,26-975-8397,$11618.84,4/14/2016,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
user-facing,49-169-0181,$24159.66,1/28/2016,justo morbi ut odio cras mi pede malesuada in imperdiet
Business-focused,21-472-9595,$63833.89,2/10/2016,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
Reactive,77-213-8840,$65276.28,9/24/2015,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
Diverse,26-724-3309,$50382.72,3/31/2016,erat volutpat in congue etiam justo etiam pretium iaculis justo
Cross-group,33-713-4880,$86593.93,11/8/2015,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus
superstructure,21-329-3384,$15287.97,9/21/2015,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
hybrid,41-178-4714,$56396.44,5/1/2016,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
algorithm,06-193-2044,$18696.03,9/15/2015,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
model,57-919-1149,$12642.65,4/19/2016,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
system engine,74-133-2940,$23973.68,6/16/2016,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
policy,25-555-8643,$56439.16,2/3/2016,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
national,83-507-7045,$79008.06,9/6/2016,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
needs-based,66-552-3640,$48475.26,6/28/2016,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
didactic,56-948-2945,$25744.92,12/26/2015,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Multi-channelled,27-103-9617,$47900.48,6/12/2016,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
focus group,47-294-1830,$51264.42,11/10/2015,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
capacity,71-592-6341,$96043.77,9/17/2015,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
extranet,31-291-8798,$23677.19,1/15/2016,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
background,18-840-6499,$62232.01,2/14/2016,arcu sed augue aliquam erat volutpat in congue etiam justo etiam
directional,32-525-5177,$4228.15,4/14/2016,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
Realigned,48-556-8335,$16327.37,10/30/2015,sapien a libero nam dui proin leo odio porttitor id consequat in
Face to face,29-205-2619,$31571.75,7/28/2016,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
encoding,40-498-9454,$1575.95,6/13/2016,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
Up-sized,12-651-4577,$65604.70,2/21/2016,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
service-desk,06-854-5953,$36326.43,12/9/2015,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
grid-enabled,16-474-7346,$15519.77,1/29/2016,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu
Re-contextualized,15-657-4653,$47563.84,7/5/2016,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
Adaptive,15-662-3123,$64978.39,8/29/2016,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
local area network,47-582-7728,$76149.52,7/19/2016,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
conglomeration,74-774-8581,$37527.22,10/17/2015,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
Open-architected,74-316-4995,$38970.34,5/13/2016,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
hybrid,05-012-1061,$33572.59,1/9/2016,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
conglomeration,36-291-1935,$33699.41,7/31/2016,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu
Open-source,93-177-1826,$88359.77,7/17/2016,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
projection,72-295-6366,$91673.85,9/5/2016,elit proin interdum mauris non ligula pellentesque ultrices phasellus id
Universal,49-389-3516,$59616.27,5/22/2016,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
multi-state,08-964-8023,$86978.31,11/23/2015,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
Expanded,38-396-6364,$5203.45,8/10/2016,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
full-range,43-558-3228,$82093.93,10/24/2015,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue
support,72-756-3522,$85373.36,1/13/2016,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
Synergized,79-879-1758,$26547.58,11/20/2015,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
encryption,91-359-1638,$85341.84,9/26/2015,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
Reverse-engineered,72-090-1975,$95532.82,9/2/2016,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
neutral,82-777-3929,$7376.03,8/27/2016,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
Multi-lateral,90-154-6569,$41818.72,1/10/2016,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
artificial intelligence,31-035-1107,$98978.28,4/28/2016,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
heuristic,14-614-0678,$98689.36,9/23/2015,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
even-keeled,75-682-2598,$15031.15,7/21/2016,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
capability,22-829-6408,$72660.48,12/17/2015,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
Pre-emptive,86-474-9090,$2638.49,4/15/2016,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
Persevering,32-631-1818,$11946.84,11/6/2015,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
intangible,24-428-4879,$18575.35,10/14/2015,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
User-centric,98-447-0443,$85509.70,1/16/2016,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis
zero tolerance,89-049-2988,$5317.27,10/8/2015,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
Stand-alone,52-826-9503,$13018.66,5/5/2016,non pretium quis lectus suspendisse potenti in eleifend quam a odio
Synergistic,78-953-3377,$16384.17,3/21/2016,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
knowledge base,65-060-4274,$72957.01,3/29/2016,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
Universal,71-209-7795,$40531.87,1/18/2016,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
leading edge,40-811-3299,$82246.56,8/22/2016,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
Distributed,47-304-5757,$19146.55,11/17/2015,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
info-mediaries,02-419-5191,$20446.44,6/21/2016,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
didactic,30-914-1788,$97135.99,11/25/2015,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
Grass-roots,98-348-8363,$26890.49,1/27/2016,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
help-desk,65-331-2530,$52552.00,9/22/2015,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
time-frame,25-821-7108,$25097.09,3/4/2016,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
stable,79-195-3311,$44460.44,10/21/2015,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
hierarchy,60-283-3233,$19851.10,6/19/2016,eros elementum pellentesque quisque porta volutpat erat quisque erat eros
Customer-focused,11-955-3650,$10032.25,6/9/2016,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
User-friendly,37-693-0224,$66286.61,1/20/2016,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
object-oriented,72-613-8092,$1038.86,9/1/2016,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
process improvement,39-587-8458,$26454.07,2/21/2016,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
framework,35-429-7816,$42162.97,6/29/2016,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt
multi-tasking,44-256-6626,$39795.93,8/14/2016,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
zero tolerance,96-077-7295,$73513.76,1/29/2016,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
bifurcated,72-473-2286,$96798.83,2/21/2016,ut massa volutpat convallis morbi odio odio elementum eu interdum
emulation,30-329-1445,$51378.85,4/23/2016,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
flexibility,60-321-8441,$38056.18,2/10/2016,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
24 hour,70-096-6093,$36289.00,7/3/2016,rutrum neque aenean auctor gravida sem praesent id massa id nisl
Exclusive,56-207-0717,$31470.53,5/5/2016,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
actuating,02-377-6326,$26975.70,7/22/2016,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
neural-net,00-903-1583,$3291.49,6/19/2016,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
conglomeration,44-569-7373,$2980.70,12/5/2015,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
software,41-769-1044,$74368.80,3/10/2016,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
productivity,05-605-0296,$31146.11,11/30/2015,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis
zero tolerance,71-198-9340,$33138.07,2/28/2016,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
Quality-focused,44-312-1967,$81322.27,7/25/2016,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
time-frame,77-336-2677,$30695.98,5/25/2016,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
dedicated,26-905-0430,$22136.96,12/5/2015,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
instruction set,35-009-1582,$45913.96,6/15/2016,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
context-sensitive,98-251-3021,$78835.39,2/17/2016,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
tertiary,32-157-2877,$84264.28,7/24/2016,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
Realigned,82-372-8706,$31056.41,12/16/2015,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
hierarchy,51-176-1860,$19293.74,11/10/2015,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
Business-focused,35-709-3944,$27828.29,11/11/2015,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
system engine,77-583-5842,$69300.17,3/7/2016,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
exuding,54-899-7973,$61725.69,3/27/2016,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
Down-sized,14-995-0910,$88906.14,10/31/2015,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
User-friendly,04-033-5614,$43871.50,12/31/2015,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
Centralized,06-561-9656,$63725.95,7/29/2016,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
Multi-layered,57-652-3528,$54853.01,5/10/2016,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
context-sensitive,91-401-2414,$71624.21,1/17/2016,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
Operative,21-302-6350,$81496.24,12/12/2015,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus
Cross-platform,50-288-2481,$155.94,7/26/2016,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
Versatile,58-900-9714,$48386.21,4/24/2016,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
foreground,32-087-4330,$52889.34,11/21/2015,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla
Fundamental,07-095-4792,$15885.65,7/9/2016,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla
discrete,22-845-0215,$90400.86,8/11/2016,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
collaboration,52-970-6395,$65220.67,11/3/2015,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
Universal,98-057-4998,$44145.23,8/31/2016,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Focused,31-452-3729,$6671.94,7/20/2016,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
forecast,97-527-2910,$74259.91,10/28/2015,erat tortor sollicitudin mi sit amet lobortis sapien sapien non
Progressive,39-928-7608,$31295.27,9/13/2015,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
secured line,53-050-7715,$15514.79,3/3/2016,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
Monitored,77-297-0279,$18484.27,2/7/2016,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
hardware,67-837-9323,$30644.76,2/9/2016,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
hybrid,63-862-3370,$43050.27,5/5/2016,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
holistic,30-341-4928,$39503.57,7/27/2016,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
workforce,07-407-7094,$39607.34,10/27/2015,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
clear-thinking,85-949-6453,$37743.41,9/21/2015,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
User-friendly,63-315-8143,$61605.46,7/9/2016,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
demand-driven,12-065-4231,$17821.44,9/17/2015,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
Vision-oriented,37-952-4039,$70565.59,9/1/2016,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
Re-engineered,82-252-4377,$35473.69,1/12/2016,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
service-desk,67-712-2031,$22461.20,8/13/2016,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
Grass-roots,36-624-8128,$74840.72,2/17/2016,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
fault-tolerant,28-926-1277,$92179.08,11/27/2015,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
software,05-303-2566,$27831.34,6/3/2016,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
Configurable,27-809-6033,$54657.77,5/17/2016,orci luctus et ultrices posuere cubilia curae donec pharetra magna
directional,06-719-3528,$48911.22,8/3/2016,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
contextually-based,19-220-5582,$81433.39,10/25/2015,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
cohesive,67-764-0142,$61019.64,9/3/2016,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
cohesive,15-876-4080,$9225.81,7/22/2016,porttitor pede justo eu massa donec dapibus duis at velit
Customizable,84-306-0230,$40663.03,7/28/2016,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
archive,87-158-0530,$55151.83,7/17/2016,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
content-based,86-098-8334,$98310.59,12/8/2015,purus sit amet nulla quisque arcu libero rutrum ac lobortis
Sharable,65-312-7702,$60643.54,10/11/2015,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
Cross-platform,60-475-4435,$15164.11,2/29/2016,nunc vestibulum ante ipsum primis in faucibus orci luctus et
Decentralized,82-245-9028,$61221.57,3/1/2016,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
grid-enabled,10-162-0967,$86162.58,9/15/2015,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
Persistent,95-222-4354,$2526.27,3/5/2016,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
leverage,89-331-8088,$20742.27,2/20/2016,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
workforce,28-490-7573,$1785.83,5/11/2016,a odio in hac habitasse platea dictumst maecenas ut massa quis augue
Managed,68-049-6161,$99212.27,11/28/2015,ac est lacinia nisi venenatis tristique fusce congue diam id
heuristic,98-738-6777,$37128.49,5/11/2016,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
concept,93-313-2740,$97786.00,1/2/2016,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
3rd generation,50-874-2365,$52371.67,8/1/2016,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
motivating,98-204-8825,$4181.35,4/7/2016,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
Multi-lateral,01-652-5297,$40658.90,11/14/2015,urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Multi-layered,95-450-4279,$43595.43,2/2/2016,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
tertiary,48-759-8567,$61727.03,6/29/2016,in felis eu sapien cursus vestibulum proin eu mi nulla
Customer-focused,41-799-5468,$665.88,9/4/2016,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
groupware,18-849-4112,$12062.55,8/8/2016,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
Phased,86-488-8184,$60993.83,10/9/2015,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
attitude-oriented,58-490-6968,$28388.21,11/19/2015,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
discrete,24-937-6160,$79126.12,10/16/2015,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
optimal,62-308-0698,$62357.63,7/23/2016,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
leading edge,09-398-0276,$87538.77,4/23/2016,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
mobile,64-929-1366,$88362.71,9/8/2016,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
pricing structure,57-276-6671,$6680.16,6/22/2016,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
migration,17-802-7193,$61255.08,1/18/2016,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Synergistic,54-475-7219,$8550.93,11/11/2015,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
Synergistic,50-973-7005,$19496.35,3/9/2016,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
even-keeled,49-668-3473,$37132.76,12/6/2015,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
Organized,70-768-3016,$53015.24,8/17/2016,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
hub,02-019-2464,$17169.26,12/5/2015,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
Programmable,15-917-5838,$94174.64,4/4/2016,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
Centralized,84-164-6781,$20606.69,6/8/2016,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue
alliance,68-404-5080,$77386.97,10/7/2015,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
project,03-133-1820,$90803.59,6/8/2016,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
system engine,13-497-4461,$83618.62,11/27/2015,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
superstructure,82-688-6969,$95528.37,1/1/2016,morbi non quam nec dui luctus rutrum nulla tellus in sagittis
responsive,01-285-1465,$75122.81,7/25/2016,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
24/7,37-122-1821,$82982.27,10/7/2015,est risus auctor sed tristique in tempus sit amet sem
Programmable,22-518-1887,$42552.56,10/4/2015,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
incremental,13-263-2003,$38237.80,7/4/2016,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
policy,65-042-7797,$99854.47,10/27/2015,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
system engine,35-828-0814,$48736.79,5/30/2016,ante nulla justo aliquam quis turpis eget elit sodales scelerisque
Compatible,25-014-8909,$86110.92,12/23/2015,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
incremental,88-932-0607,$2812.41,8/13/2016,vel sem sed sagittis nam congue risus semper porta volutpat
local area network,81-654-1504,$75044.08,10/16/2015,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh
zero tolerance,16-475-3394,$51827.49,11/27/2015,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Up-sized,69-210-4811,$22501.71,6/1/2016,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
upward-trending,76-588-9918,$10173.47,3/29/2016,sit amet sem fusce consequat nulla nisl nunc nisl duis
Digitized,90-390-5908,$2919.33,10/31/2015,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
benchmark,95-199-5928,$73140.29,8/5/2016,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
attitude-oriented,23-295-2622,$96587.44,10/30/2015,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
Customizable,69-469-0585,$51444.83,9/27/2015,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus
logistical,65-638-9743,$43468.86,2/13/2016,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
User-friendly,21-846-8980,$83406.03,2/27/2016,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
